,0
whistling,0.4700000000000002
woodwinds-ensemble,0.3380000000000001
wurlitzer-organ,0.23900000000000007
xylophone,0.28200000000000014
adventurous,0.2510000000000001
afraid,0.27100000000000013
aggressive,0.3480000000000001
anxious,0.3480000000000002
carefree,0.3360000000000002
cautious,0.24199999999999994
confident,0.39400000000000013
creepy,0.2600000000000001
dangerous,0.2500000000000001
driving,0.3840000000000001
epic,0.3820000000000001
euphoric,0.26900000000000013
exciting,0.29700000000000015
fragile,0.30900000000000016
funny,0.3410000000000002
happy,0.41700000000000015
hate,0.30100000000000016
heartfelt,0.31800000000000017
hopeful,0.28100000000000014
hot,0.19899999999999995
inspirational,0.29500000000000015
joyful,0.31300000000000017
majestic,0.3660000000000002
moody,0.20599999999999996
motivational,0.2600000000000001
mysterious,0.29800000000000015
optimistic,0.40800000000000014
playful,0.3620000000000001
poignant,0.2580000000000001
quiet,0.23199999999999996
rebellion,0.2530000000000001
reflective,0.3390000000000002
relaxed,0.39900000000000013
romantic,0.3890000000000001
sad,0.31400000000000017
seductive,0.30500000000000016
serious,0.23299999999999993
sexy,0.22699999999999995
sinister,0.3300000000000002
sneaky,0.18099999999999997
spectacular,0.3490000000000001
suspenseful,0.3400000000000002
togetherness,0.19699999999999995
uplifting,0.3280000000000002
victorious,0.2680000000000001
warm,0.3470000000000002
